Id,SalePrice
2658,380344.64666666667
2718,415362.87666666665
2414,381821.88333333336
1989,383193.35
625,330904.2866666667
333,384845.89
1327,383640.01666666666
858,383640.01666666666
95,381821.88333333336
1568,379924.13
2482,380606.13
1364,331149.2866666667
2584,330904.2866666667
818,417576.24333333335
2673,331473.32666666666
2089,384872.01666666666
1297,414390.7033333333
790,383432.51666666666
2616,379679.13
720,331838.32666666666
222,330904.2866666667
557,331149.2866666667
1148,380606.13
2766,330904.2866666667
534,333242.9533333333
1452,383640.01666666666
630,415362.87666666665
2648,385053.39
125,384872.01666666666
1904,330574.12
1670,383640.01666666666
756,330539.2866666667
717,385053.39
1032,383432.51666666666
852,380606.13
1731,381821.88333333336
2639,385079.51666666666
2071,382985.85
1267,382985.85
1851,380851.13
567,382066.88333333336
2439,417576.24333333335
1898,383640.01666666666
647,330904.2866666667
2256,415362.87666666665
979,381650.2233333333
1444,381821.88333333336
2485,383640.01666666666
157,382985.85
88,382985.85
2003,383193.35
186,381139.88333333336
1425,380606.13
2695,330539.2866666667
738,382985.85
395,331149.2866666667
1353,380851.13
1878,331149.2866666667
390,415362.87666666665
1456,381821.88333333336
1103,380606.13
1387,384302.01666666666
2070,383432.51666666666
1199,385282.55666666664
2479,381821.88333333336
501,380606.13
2362,379800.18333333335
1718,332997.9533333333
2188,379453.51666666666
1483,384872.01666666666
2557,384509.51666666666
437,381821.88333333336
2224,330294.2866666667
1628,416229.04333333333
397,383432.51666666666
587,383432.51666666666
2182,381821.88333333336
971,383432.51666666666
2611,330904.2866666667
1887,383432.51666666666
2399,380606.13
2148,380606.13
304,331149.2866666667
1997,332083.32666666666
2817,416710.07666666666
1431,380903.31333333335
427,380606.13
263,383640.01666666666
598,379679.13
2895,379679.13
687,331149.2866666667
1822,331149.2866666667
2191,332083.32666666666
179,385079.51666666666
1009,380606.13
2010,414390.7033333333
1991,385490.05666666664
1411,383432.51666666666
1721,380606.13
1144,381821.88333333336
593,381821.88333333336
575,379679.13
1249,379679.13
1604,383432.51666666666
1064,332997.9533333333
1923,330904.2866666667
1988,330574.12
2325,381821.88333333336
114,380606.13
2700,379924.13
217,377303.4166666667
343,379679.13
386,381821.88333333336
2005,379679.13
2908,332667.7866666667
1814,380606.13
2446,381821.88333333336
208,415737.9033333333
1679,416888.41
822,380606.13
6,381821.88333333336
1781,380606.13
2397,381821.88333333336
2340,380606.13
1618,381821.88333333336
2843,333242.9533333333
1061,381821.88333333336
2786,383432.51666666666
1935,330904.2866666667
1341,382985.85
521,380606.13
2136,415541.21
996,381821.88333333336
227,331838.32666666666
135,383432.51666666666
1167,382066.88333333336
294,382985.85
1776,380606.13
540,333242.9533333333
1717,332997.9533333333
2303,383432.51666666666
116,383432.51666666666
127,382985.85
1371,383193.35
1014,382985.85
1507,379800.18333333335
702,416888.41
750,416480.7366666667
261,331838.32666666666
1559,331473.32666666666
577,330294.2866666667
2812,381821.88333333336
2080,383432.51666666666
1368,330574.12
2376,330904.2866666667
659,383193.35
1235,383432.51666666666
332,381650.2233333333
1917,383432.51666666666
2094,380903.31333333335
1460,381821.88333333336
1471,380606.13
1509,383640.01666666666
1922,383432.51666666666
433,380606.13
460,380606.13
1116,380606.13
1137,333242.9533333333
53,380606.13
2354,381821.88333333336
1475,380606.13
1761,381821.88333333336
842,333242.9533333333
2739,378883.8933333333
2509,382066.88333333336
1007,381821.88333333336
2610,383432.51666666666
1952,330539.2866666667
2719,415362.87666666665
2921,331838.32666666666
1966,383432.51666666666
292,332667.7866666667
1204,380894.88333333336
1829,380894.88333333336
2419,381821.88333333336
391,415362.87666666665
798,383640.01666666666
481,381821.88333333336
193,383193.35
555,331149.2866666667
899,383640.01666666666
2357,381821.88333333336
328,382985.85
1356,383193.35
1154,383432.51666666666
1730,381821.88333333336
2249,383432.51666666666
1119,381821.88333333336
2856,379924.13
1394,330904.2866666667
2587,383640.01666666666
61,381821.88333333336
2661,379128.8933333333
2711,383432.51666666666
1147,381821.88333333336
757,331228.32666666666
2623,331149.2866666667
2378,380894.88333333336
1413,332083.32666666666
1722,380606.13
1112,381821.88333333336
1623,381821.88333333336
1201,380894.88333333336
1513,384509.51666666666
957,415362.87666666665
1171,380606.13
1145,381821.88333333336
2726,330294.2866666667
703,385053.39
760,380769.68333333335
1964,383432.51666666666
2512,382066.88333333336
159,331149.2866666667
1281,331838.32666666666
468,381821.88333333336
290,383640.01666666666
665,383640.01666666666
1463,417576.24333333335
1792,381821.88333333336
923,383432.51666666666
500,417576.24333333335
1408,332667.7866666667
331,330574.12
170,384872.01666666666
2192,383193.35
2571,381148.31333333335
2314,381821.88333333336
2647,330539.2866666667
422,381821.88333333336
2457,332997.9533333333
1838,380606.13
2805,381821.88333333336
1645,414212.37
1711,381821.88333333336
2825,381821.88333333336
322,380606.13
2103,380606.13
342,383432.51666666666
600,383640.01666666666
488,381821.88333333336
1725,380606.13
2246,416229.04333333333
2847,382985.85
806,381821.88333333336
530,381821.88333333336
963,414212.37
2678,331149.2866666667
171,330574.12
2401,417576.24333333335
805,380903.31333333335
2259,415362.87666666665
1748,416229.04333333333
1361,331473.32666666666
1677,332083.32666666666
1406,383432.51666666666
2322,381821.88333333336
688,331838.32666666666
143,383432.51666666666
804,380903.31333333335
1214,383432.51666666666
2828,332997.9533333333
1999,415541.21
2467,381821.88333333336
2665,385053.39
1538,379679.13
398,383640.01666666666
2822,330904.2866666667
2157,384872.01666666666
1856,332997.9533333333
1269,331149.2866666667
2570,383432.51666666666
2320,381821.88333333336
1517,415737.9033333333
2304,332667.7866666667
1312,383193.35
2012,383640.01666666666
506,381821.88333333336
2865,416888.41
2367,385490.05666666664
554,383193.35
238,383432.51666666666
1954,383432.51666666666
2488,415362.87666666665
2291,385282.55666666664
1969,383432.51666666666
2725,383640.01666666666
1482,384872.01666666666
2763,381821.88333333336
503,380903.31333333335
1584,380606.13
1531,331838.32666666666
2210,416710.07666666666
459,380606.13
556,383640.01666666666
1347,380344.64666666667
1290,383640.01666666666
1388,330574.12
1571,415362.87666666665
2754,380606.13
765,416407.37666666665
2494,383432.51666666666
2870,416710.07666666666
7,414955.2033333333
1114,380606.13
2418,381821.88333333336
291,413028.87
18,384872.01666666666
39,380606.13
1001,384872.01666666666
2442,417576.24333333335
616,383193.35
2680,379800.18333333335
1414,330539.2866666667
289,414390.7033333333
40,380606.13
860,383640.01666666666
409,379679.13
673,383640.01666666666
2427,416229.04333333333
2036,385490.05666666664
2564,331838.32666666666
642,416407.37666666665
1008,381821.88333333336
1908,416888.41
2519,330904.2866666667
1369,383640.01666666666
2855,385053.39
712,384509.51666666666
1943,411681.67
1958,331149.2866666667
107,331149.2866666667
2295,332997.9533333333
704,379453.51666666666
676,330904.2866666667
259,381821.88333333336
93,381821.88333333336
106,381821.88333333336
2315,381821.88333333336
1050,383432.51666666666
1095,381821.88333333336
2709,330904.2866666667
758,376508.18
1496,385282.55666666664
2370,332083.32666666666
2458,380606.13
2733,383432.51666666666
161,415362.87666666665
726,386266.2233333333
845,380606.13
947,381821.88333333336
2232,410531.16333333333
2563,382985.85
2299,330904.2866666667
211,383193.35
605,379924.13
1478,380606.13
2247,416229.04333333333
2274,330904.2866666667
2869,415362.87666666665
967,381821.88333333336
2656,330904.2866666667
667,416710.07666666666
1042,385490.05666666664
2023,386266.2233333333
2447,381821.88333333336
2055,383193.35
2275,416229.04333333333
2204,331149.2866666667
1563,380606.13
483,380606.13
796,379679.13
1526,415559.57
2042,383193.35
442,380606.13
1693,381821.88333333336
1468,381821.88333333336
1430,415362.87666666665
2605,415362.87666666665
1529,381148.31333333335
335,330904.2866666667
1287,383640.01666666666
31,385490.05666666664
1785,380606.13
82,380894.88333333336
2620,383193.35
252,380606.13
721,330574.12
2165,380606.13
2316,381821.88333333336
775,383640.01666666666
1558,331149.2866666667
17,379679.13
1022,415362.87666666665
925,383193.35
438,380606.13
1270,415362.87666666665
1272,383432.51666666666
215,379924.13
266,381821.88333333336
2402,381821.88333333336
1250,383640.01666666666
1984,331149.2866666667
1279,383640.01666666666
377,380894.88333333336
1252,379679.13
2156,381821.88333333336
499,417576.24333333335
1374,414212.37
2898,416710.07666666666
401,383640.01666666666
2721,415362.87666666665
2078,379679.13
2589,383432.51666666666
1946,380099.64666666667
1334,332083.32666666666
2781,380606.13
431,379679.13
576,330904.2866666667
1474,381821.88333333336
2254,330904.2866666667
2155,380606.13
885,379924.13
643,383432.51666666666
1944,383640.01666666666
480,381821.88333333336
2845,383640.01666666666
2387,381821.88333333336
2407,380606.13
2527,380894.88333333336
2514,381821.88333333336
629,382985.85
80,381821.88333333336
1876,379679.13
1546,383640.01666666666
2518,330904.2866666667
2347,330904.2866666667
783,330904.2866666667
1322,328744.94
194,383193.35
1770,381821.88333333336
2143,383640.01666666666
1229,331838.32666666666
511,380606.13
46,380606.13
1348,414390.7033333333
2465,381821.88333333336
387,381821.88333333336
873,416229.04333333333
1918,383640.01666666666
2764,381821.88333333336
2184,383193.35
934,385282.55666666664
1920,383432.51666666666
2631,331838.32666666666
1768,381821.88333333336
2040,383640.01666666666
1749,381821.88333333336
834,381821.88333333336
1457,381821.88333333336
79,383432.51666666666
2302,383432.51666666666
1817,383432.51666666666
2755,380606.13
359,381821.88333333336
